Ep: 318, Reward: -27.601809954751218, Avg: -55.66182151604022
Ep: 319, Reward: -74.60317460317458, Avg: -55.60457457354739
Ep: 320, Reward: -76.58862876254167, Avg: -56.04613653684847
Ep: 321, Reward: -71.92982456140366, Avg: -56.64085565788339
Ep: 322, Reward: -13.669064748201448, Avg: -55.99493760971323
Ep: 323, Reward: -68.42105263157944, Avg: -56.321040027920915
Ep: 324, Reward: -79.31034482758592, Avg: -56.428828790882086
Ep: 325, Reward: -60.159362549801266, Avg: -56.264797416380105
Ep: 326, Reward: -73.06397306397311, Avg: -56.201622714030144
Ep: 327, Reward: -79.66101694915226, Avg: -56.46882111881578
Ep: 328, Reward: -57.95795795795864, Avg: -56.37214170558961
Ep: 329, Reward: -67.62589928057591, Avg: -57.12119763326126
Ep: 330, Reward: -35.01805054151634, Avg: -56.866114980781695
Ep: 331, Reward: -30.92105263157895, Avg: -56.51367137175914
Ep: 332, Reward: -59.183673469388225, Avg: -56.385881938228714
Ep: 333, Reward: -38.356164383561904, Avg: -56.06745682709745
Ep: 334, Reward: -55.414012738854076, Avg: -56.16581464156081
Ep: 335, Reward: -35.01805054151664, Avg: -55.79768528782104
Ep: 336, Reward: -54.716981132076, Avg: -55.78136303564974
Ep: 337, Reward: -58.90410958904195, Avg: -55.91192037702752
Ep: 338, Reward: -74.52229299363056, Avg: -56.0764981456735
Ep: 339, Reward: -83.87096774193496, Avg: -56.344895323092835
Ep: 340, Reward: -31.407942238267196, Avg: -55.84765399075852
Ep: 341, Reward: -51.456310679612145, Avg: -55.68170591544603
Ep: 342, Reward: -30.656934306569475, Avg: -55.33576560600205
Ep: 343, Reward: -65.71428571428646, Avg: -55.243604841975014
Ep: 344, Reward: -73.50993377483451, Avg: -55.27500047601964
Ep: 345, Reward: -78.78787878787854, Avg: -55.473838168008015
Ep: 346, Reward: -11.262798634812066, Avg: -55.36424393213392
Ep: 347, Reward: -72.7272727272728, Avg: -55.62532448858813
Ep: 348, Reward: -66.66666666666728, Avg: -55.46992709831531
Ep: 349, Reward: -79.38144329896885, Avg: -55.48514374532712
Ep: 350, Reward: -81.43236074270519, Avg: -55.74391179719861
Ep: 351, Reward: -81.07255520504694, Avg: -56.2024106286013
Ep: 352, Reward: -32.6923076923077, Avg: -55.77668352884594
Ep: 353, Reward: -59.24764890282182, Avg: -55.91861056732471
Ep: 354, Reward: -80.51948051948021, Avg: -56.110710134424274
Ep: 355, Reward: -28.571428571429237, Avg: -55.778368864583
Ep: 356, Reward: -80.06644518272392, Avg: -56.276707735014895
Ep: 357, Reward: -36.17021276595791, Avg: -56.26754893552216
Ep: 358, Reward: -68.35443037974721, Avg: -56.310805469535445
Ep: 359, Reward: -72.22222222222231, Avg: -56.688200105550756
Ep: 360, Reward: -14.893617021276746, Avg: -56.279313146511825
Ep: 361, Reward: -70.14925373134352, Avg: -56.30760306944616
Ep: 362, Reward: -32.38434163701075, Avg: -55.841530519429725
Ep: 363, Reward: -36.50793650793658, Avg: -55.53269684103082
Ep: 364, Reward: -73.7704918032787, Avg: -55.6263888140798
Ep: 365, Reward: -45.20547945205537, Avg: -55.426875664349474
Ep: 366, Reward: -72.31833910034626, Avg: -55.47263970051422
Ep: 367, Reward: -28.813559322033907, Avg: -54.97816659808238
Ep: 368, Reward: -75.90361445783122, Avg: -54.95148845694641
Ep: 369, Reward: -67.5324675324679, Avg: -55.423625881275086
Ep: 370, Reward: -73.21428571428575, Avg: -55.73829301026259
Ep: 371, Reward: -50.98039215686317, Avg: -55.96238264611693
Ep: 372, Reward: -52.70270270270322, Avg: -56.221893749577085
Ep: 373, Reward: -69.69696969696993, Avg: -56.155349933033264
Ep: 374, Reward: -81.75182481751783, Avg: -56.34958050997557
Ep: 375, Reward: -61.29032258064565, Avg: -56.41120168449997
Ep: 376, Reward: -40.00000000000014, Avg: -56.083310528037394
Ep: 377, Reward: -28.81355932203418, Avg: -55.85115091830569
Ep: 378, Reward: -82.69896193771578, Avg: -56.39709478604887
Ep: 379, Reward: -81.94945848375409, Avg: -56.77214492644195
Ep: 380, Reward: -55.71955719557239, Avg: -56.493274924627194
Ep: 381, Reward: -46.488294314381754, Avg: -56.452454445717784
Ep: 382, Reward: -76.66666666666652, Avg: -56.51420307959756
Ep: 383, Reward: -52.38095238095324, Avg: -56.32786767587086
Ep: 384, Reward: -60.99290780141896, Avg: -56.19923466238178
Ep: 385, Reward: -66.32996632996684, Avg: -56.35495856810569
Ep: 386, Reward: -53.947368421053135, Avg: -56.0978220828247
Ep: 387, Reward: -79.16666666666642, Avg: -56.497596857599454
Ep: 388, Reward: -78.26086956521716, Avg: -56.733167225725495
Ep: 389, Reward: -46.043165467626785, Avg: -56.52804704093686
Ep: 390, Reward: -73.2441471571907, Avg: -57.183565435585706
Ep: 391, Reward: -21.708185053380703, Avg: -56.7928041488646
Ep: 392, Reward: -70.03745318352095, Avg: -56.925072368407456
Ep: 393, Reward: -62.96296296296387, Avg: -57.290487951214324
Ep: 394, Reward: -46.04316546762628, Avg: -57.148031519247986
Ep: 395, Reward: -30.463576158940604, Avg: -57.36553035137681
Ep: 396, Reward: -40.19933554817341, Avg: -57.282229589211475
Ep: 397, Reward: -60.71428571428628, Avg: -57.3439179008998
Ep: 398, Reward: -61.26760563380336, Avg: -57.144093957237835
Ep: 399, Reward: -46.843853820598724, Avg: -57.104335774132345
Ep: 400, Reward: -79.16666666666643, Avg: -57.43171672651328
Ep: 401, Reward: -68.4210526315793, Avg: -57.41295695579937
Ep: 402, Reward: -10.447761194030035, Avg: -56.69165059561425
Ep: 403, Reward: -80.69498069498034, Avg: -56.826469255023056
Ep: 404, Reward: -46.996466431095634, Avg: -56.79810616013668
Ep: 405, Reward: 7.526881720429959, Avg: -56.406290580342464
Ep: 406, Reward: -40.98360655737721, Avg: -56.087210983265635
Ep: 407, Reward: -73.38403041825099, Avg: -56.301820518217376
Ep: 408, Reward: -74.54545454545452, Avg: -56.292889098759645
Ep: 409, Reward: -72.02797202797218, Avg: -56.26110270333688
Ep: 410, Reward: -39.516129032258235, Avg: -56.283326699930086
Ep: 411, Reward: -64.2857142857148, Avg: -57.033326699930086
Ep: 412, Reward: -72.44094488188988, Avg: -57.54271908390257
Ep: 413, Reward: -76.4309764309763, Avg: -57.483707293442
Ep: 414, Reward: -75.17730496453895, Avg: -57.55350154450081
Ep: 415, Reward: -73.21428571428575, Avg: -58.21949654172149
Ep: 416, Reward: -65.18987341772198, Avg: -58.110916233982564
Ep: 417, Reward: -72.45179063360891, Avg: -58.0634471696346
Ep: 418, Reward: -81.41263940520406, Avg: -58.60155546413912
Ep: 419, Reward: -75.86206896551715, Avg: -58.61414440776256
Ep: 420, Reward: -60.431654676259534, Avg: -58.452574666899736
Ep: 421, Reward: -72.04968944099394, Avg: -58.45377331569564
Ep: 422, Reward: -63.07692307692383, Avg: -58.94785189898287
Ep: 423, Reward: -71.83098591549307, Avg: -58.981951231822016
