LR: 0.0001, buffer: 10000, upd: 0.0004
Ep: 399, Reward: -32.692307692307786, Avg: -23.274174136062257
Ep: 400, Reward: -14.473684210526741, Avg: -23.133196692453236
Ep: 401, Reward: -5.2631578947373505, Avg: -22.92907151464385
Ep: 402, Reward: -18.51851851851846, Avg: -22.776508355458173
Ep: 403, Reward: -33.333333333333336, Avg: -22.835914296052238
Ep: 404, Reward: 30.80168776371203, Avg: -22.225571837019764
Ep: 405, Reward: -2.173913043478113, Avg: -22.025088745232313
Ep: 406, Reward: -2.3437500000002074, Avg: -21.70824846745454
Ep: 407, Reward: -24.137931034483177, Avg: -21.61187943342851
Ep: 408, Reward: -21.232876712328775, Avg: -21.5312789076225
Ep: 409, Reward: -15.384615384615168, Avg: -21.060125061468646
Ep: 410, Reward: -28.825622775800856, Avg: -21.481984528093044
Ep: 411, Reward: -32.74853801169597, Avg: -21.399440409684924
Ep: 412, Reward: -24.528301886792665, Avg: -21.359009142838566
Ep: 413, Reward: -7.590759075907782, Avg: -21.311540110221028
Ep: 414, Reward: -30.81761006289309, Avg: -21.89557827981547
Ep: 415, Reward: -28.813559322034024, Avg: -21.983713873035814
Ep: 416, Reward: 17.449664429530035, Avg: -21.516612727132795
Ep: 417, Reward: -31.506849315068905, Avg: -21.509647321978395
Ep: 418, Reward: -21.501706484642238, Avg: -21.467907630068066
