Agent: ppo, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 275, Reward: 4.7405, Test: 48.3849, Avg: 107.6405
Ep: 276, Reward: 16.2868, Test: -31.7977, Avg: 105.3578
Ep: 277, Reward: 15.9664, Test: 0.4924, Avg: 103.0489
Ep: 278, Reward: 17.6714, Test: -19.1865, Avg: 101.7089
Ep: 279, Reward: -11.9660, Test: -2.8126, Avg: 100.9679
Ep: 280, Reward: -5.9261, Test: -7.9365, Avg: 99.9086
Ep: 281, Reward: -32.0200, Test: 8.5839, Avg: 98.0679
Ep: 282, Reward: -3.3207, Test: -35.6885, Avg: 95.2843
Ep: 283, Reward: 5.7831, Test: -15.7868, Avg: 93.7512
Ep: 284, Reward: 2.8648, Test: -54.5058, Avg: 92.2964
Ep: 285, Reward: -55.6726, Test: -61.2794, Avg: 89.7132
Ep: 286, Reward: -51.1036, Test: -44.5409, Avg: 87.0476
Ep: 287, Reward: -55.8064, Test: -56.8224, Avg: 85.2791
Ep: 288, Reward: -54.0203, Test: -53.9721, Avg: 83.3843
Ep: 289, Reward: -54.0269, Test: -50.0490, Avg: 81.8344
Ep: 290, Reward: -46.7307, Test: -56.8558, Avg: 80.9263
Ep: 291, Reward: -43.7043, Test: -62.7476, Avg: 79.0286
Ep: 292, Reward: -39.3359, Test: -42.8383, Avg: 78.5877
Ep: 293, Reward: -55.2725, Test: -56.7811, Avg: 77.4420
Ep: 294, Reward: -59.0501, Test: -61.3561, Avg: 75.8064
Ep: 295, Reward: -53.2862, Test: -24.5054, Avg: 73.7404
Ep: 296, Reward: -58.3809, Test: -51.4781, Avg: 73.2094
Ep: 297, Reward: -49.3543, Test: -51.0847, Avg: 72.3158
Ep: 298, Reward: -52.4234, Test: -62.5825, Avg: 67.3068
Ep: 299, Reward: -51.3372, Test: -34.9504, Avg: 65.6010
Ep: 300, Reward: -48.1194, Test: -59.1338, Avg: 63.5186
Ep: 301, Reward: -54.6067, Test: -66.2402, Avg: 61.6397
Ep: 302, Reward: -65.8630, Test: -70.3823, Avg: 58.3986
Ep: 303, Reward: -60.5476, Test: -68.6808, Avg: 55.9575
Ep: 304, Reward: -59.2807, Test: -61.6121, Avg: 52.5104
Ep: 305, Reward: -61.6712, Test: -74.3458, Avg: 50.6341
Ep: 306, Reward: -52.8250, Test: -44.8472, Avg: 49.0278
Ep: 307, Reward: -71.3523, Test: -59.5973, Avg: 46.0148
Ep: 308, Reward: -71.1433, Test: -46.4551, Avg: 44.2912
Ep: 309, Reward: -55.8709, Test: -46.4541, Avg: 43.5606
Ep: 310, Reward: -44.8859, Test: -60.8632, Avg: 41.1059
Ep: 311, Reward: -35.8963, Test: -49.3226, Avg: 39.6158
Ep: 312, Reward: -32.0284, Test: -35.4757, Avg: 37.0364
Ep: 313, Reward: -25.9780, Test: 9.6539, Avg: 36.4521
Ep: 314, Reward: -38.5458, Test: -12.9245, Avg: 32.9279
Ep: 315, Reward: -35.3655, Test: -30.8093, Avg: 30.1430
Ep: 316, Reward: -20.2116, Test: 12.5130, Avg: 27.7674
Ep: 317, Reward: -14.5956, Test: -7.1505, Avg: 26.2402
Ep: 318, Reward: -1.8464, Test: -7.8577, Avg: 24.8108
Ep: 319, Reward: -19.7483, Test: -28.6578, Avg: 22.8122
Ep: 320, Reward: -83.2535, Test: -67.8466, Avg: 19.1326
Ep: 321, Reward: -78.5501, Test: -77.2710, Avg: 15.5683
Ep: 322, Reward: -27.0407, Test: -45.4639, Avg: 13.3270
Ep: 323, Reward: 18.9632, Test: -13.8063, Avg: 9.8788
Ep: 324, Reward: -22.7469, Test: -27.9970, Avg: 8.5044
Ep: 325, Reward: -30.5376, Test: -9.6934, Avg: 7.0124
Ep: 326, Reward: -33.6762, Test: -30.6260, Avg: 4.4874
Ep: 327, Reward: -33.6033, Test: -17.3541, Avg: 2.1479
Ep: 328, Reward: -17.9054, Test: -46.2808, Avg: 1.1564
Ep: 329, Reward: -14.0788, Test: 27.5222, Avg: -0.4858
Ep: 330, Reward: -11.3616, Test: -7.4430, Avg: -3.3063
Ep: 331, Reward: -27.7319, Test: -59.5098, Avg: -3.9351
Ep: 332, Reward: -26.8892, Test: -12.4242, Avg: -3.7495
Ep: 333, Reward: 6.0307, Test: -11.9355, Avg: -3.6984
Ep: 334, Reward: -2.9865, Test: -16.2339, Avg: -3.5184
Ep: 335, Reward: -30.9719, Test: -23.1858, Avg: -3.5988
Ep: 336, Reward: -34.1104, Test: -18.9918, Avg: -3.7916
Ep: 337, Reward: -2.7629, Test: -11.5753, Avg: -3.9307
Ep: 338, Reward: -25.1893, Test: -27.0260, Avg: -4.0356
Ep: 339, Reward: -35.9666, Test: -76.4390, Avg: -5.0615
Ep: 340, Reward: -28.4014, Test: 8.8006, Avg: -4.7352
Ep: 341, Reward: 7.3330, Test: -12.9440, Avg: -4.6542
Ep: 342, Reward: -22.1678, Test: -53.0348, Avg: -4.7983
Ep: 343, Reward: -23.4807, Test: -49.0193, Avg: -6.5531
Ep: 344, Reward: -19.5408, Test: -13.6470, Avg: -7.5941
Ep: 345, Reward: -2.6335, Test: 18.2886, Avg: -7.9548
Ep: 346, Reward: 7.2894, Test: -3.4315, Avg: -9.2538
Ep: 347, Reward: 25.9906, Test: -9.6449, Avg: -9.6195
Ep: 348, Reward: -15.0048, Test: -20.0278, Avg: -9.9559
Ep: 349, Reward: -27.7354, Test: -2.7539, Avg: -10.3698
Ep: 350, Reward: -19.8134, Test: -28.5604, Avg: -11.8914
Ep: 351, Reward: -25.4539, Test: -34.5636, Avg: -14.7694
Ep: 352, Reward: -30.9678, Test: -38.8586, Avg: -16.9597
Ep: 353, Reward: -43.6162, Test: -52.3409, Avg: -19.6814
Ep: 354, Reward: -41.6071, Test: -12.9280, Avg: -20.4387
Ep: 355, Reward: -0.9122, Test: -45.3511, Avg: -21.5624
Ep: 356, Reward: -31.4990, Test: -39.8442, Avg: -24.8833
Ep: 357, Reward: -9.6892, Test: -49.0413, Avg: -25.6572
Ep: 358, Reward: -7.5253, Test: -5.9115, Avg: -25.9049
Ep: 359, Reward: -7.4862, Test: -7.1913, Avg: -25.6938
Ep: 360, Reward: 13.8513, Test: 32.2804, Avg: -25.1326
Ep: 361, Reward: -11.6571, Test: -13.4339, Avg: -25.3885
Ep: 362, Reward: -6.1067, Test: -20.7827, Avg: -25.2899
Ep: 363, Reward: -10.6154, Test: -22.2636, Avg: -25.5769
Ep: 364, Reward: 42.4008, Test: 0.4534, Avg: -25.1074
Ep: 365, Reward: 20.4746, Test: -17.3660, Avg: -24.8788
Ep: 366, Reward: -21.9005, Test: -47.0665, Avg: -25.2909
Ep: 367, Reward: -31.2538, Test: -49.7071, Avg: -25.9805
Ep: 368, Reward: -43.5189, Test: -24.9511, Avg: -26.5364
Ep: 369, Reward: -27.8604, Test: -35.3927, Avg: -26.9268
Ep: 370, Reward: -23.8456, Test: -20.4205, Avg: -26.7675
Ep: 371, Reward: -54.0962, Test: -18.1104, Avg: -27.2201
Ep: 372, Reward: -13.1221, Test: -20.2136, Avg: -28.2325
Ep: 373, Reward: -20.8960, Test: -0.9639, Avg: -29.2460
Ep: 374, Reward: -8.2277, Test: -3.9404, Avg: -29.7820
Ep: 375, Reward: 1.0745, Test: -0.6425, Avg: -30.2723
Ep: 376, Reward: -29.8810, Test: -7.0250, Avg: -30.0246
Ep: 377, Reward: -1.9105, Test: -28.6861, Avg: -30.3164
Ep: 378, Reward: -24.8317, Test: -18.2342, Avg: -30.3069
Ep: 379, Reward: -19.9024, Test: -53.3144, Avg: -30.8119
Ep: 380, Reward: 2.4831, Test: -15.0352, Avg: -30.8829
Ep: 381, Reward: 0.1068, Test: -23.8790, Avg: -31.2075
