Iteration 0
Ep: 296, Reward: 502.7656, Test: 439.2263, Avg: 605.9787
Ep: 297, Reward: 485.8792, Test: 417.5378, Avg: 603.0566
Ep: 298, Reward: 543.2888, Test: 643.1162, Avg: 602.4494
Ep: 299, Reward: 561.4819, Test: 686.6906, Avg: 601.9958
Ep: 300, Reward: 652.5591, Test: 629.9835, Avg: 600.4035
Ep: 301, Reward: 551.8772, Test: 494.5241, Avg: 599.3197
Ep: 302, Reward: 492.1234, Test: 627.2913, Avg: 599.6734
Ep: 303, Reward: 684.3248, Test: 670.0176, Avg: 600.8874
Ep: 304, Reward: 778.8234, Test: 429.5549, Avg: 598.5119
Ep: 305, Reward: 782.8440, Test: 711.6939, Avg: 599.2392
Ep: 306, Reward: 608.4887, Test: 647.5190, Avg: 598.3778
Ep: 307, Reward: 401.7391, Test: 540.6091, Avg: 599.3418
Ep: 308, Reward: 711.2156, Test: 682.3404, Avg: 600.0349
Ep: 309, Reward: 684.5151, Test: 784.0012, Avg: 601.7236
Ep: 310, Reward: 686.1808, Test: 739.1472, Avg: 603.3546
Ep: 311, Reward: 572.3595, Test: 462.4400, Avg: 601.5539
Ep: 312, Reward: 657.9625, Test: 737.3499, Avg: 603.5446
Ep: 313, Reward: 523.0345, Test: 614.5425, Avg: 603.6686
Ep: 314, Reward: 747.8111, Test: 741.9327, Avg: 606.2979
Ep: 315, Reward: 584.3680, Test: 558.8561, Avg: 605.2652
Ep: 316, Reward: 587.1529, Test: 844.8243, Avg: 608.5057
Ep: 317, Reward: 753.2675, Test: 513.8334, Avg: 608.0908
Ep: 318, Reward: 745.2816, Test: 751.4051, Avg: 609.5357
Ep: 319, Reward: 534.7636, Test: 782.2039, Avg: 612.7164
Ep: 320, Reward: 617.2469, Test: 558.9353, Avg: 613.1036
Ep: 321, Reward: 631.0318, Test: 778.3690, Avg: 615.3045
Ep: 322, Reward: 594.0098, Test: 686.2743, Avg: 616.1183
Ep: 323, Reward: 585.9069, Test: 816.8059, Avg: 618.2620
Ep: 324, Reward: 461.6958, Test: 613.9901, Avg: 617.8469
Ep: 325, Reward: 614.3888, Test: 534.1940, Avg: 615.8733
Ep: 326, Reward: 446.9164, Test: 747.2371, Avg: 617.9392
Ep: 327, Reward: 645.1540, Test: 497.2082, Avg: 616.4057
Ep: 328, Reward: 723.9875, Test: 759.9640, Avg: 616.1745
Ep: 329, Reward: 681.7406, Test: 562.7456, Avg: 615.7549
Ep: 330, Reward: 532.4267, Test: 667.9019, Avg: 615.9722
Ep: 331, Reward: 769.2566, Test: 440.2297, Avg: 613.3593
Ep: 332, Reward: 485.3404, Test: 627.3400, Avg: 613.3462
